season,team,playerid,full_name,name,side,category,position,games,starts,years,av
2006,CHI,BrowAl20,Alex Brown,A.Brown,D,DL,DE,16,16,4,10
2006,CHI,MetcTe20,Terrence Metcalf,T.Metcalf,,,,16,0,4,1
2006,CHI,BrowMi99,Mike Brown,M.Brown,D,DB,SS,6,6,6,3
2006,CHI,MillFr21,Fred Miller,F.Miller,O,OL,RT,16,16,10,8
2006,CHI,BrowRu00,Ruben Brown,R.Brown,O,OL,LG,16,16,11,10
2006,CHI,MuhaMu00,Muhsin Muhammad,M.Muhammad,O,WR,WR,16,16,10,8
2006,CHI,ClarDe00,Desmond Clark,D.Clark,O,TE,TE,16,16,7,6
2006,CHI,OgunAd00,Adewale Ogunleye,A.Ogunleye,D,DL,DE,14,14,5,9
2006,CHI,CurrAi00,Airese Currie,A.Currie,,,,1,0,0,0
2006,CHI,PeteAd00,Adrian Peterson,A.Peterson,,,,16,0,4,1
